no,gender,age,height,weight,bmi,griffith,sensitivity,preference,environment,season,ta,hr,va,date,time
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,25.5,13,0.48,59,0
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,26.06,13,0.6,59,1
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,26.26,13,0.6,59,2
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,25.7,13,0.48,59,3
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,25.5,13,0.84,59,0
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,25.96,13,1.08,59,1
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,26.05,13,0.36,59,2
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,25.89,13,0.6,59,3
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,25.5,13,0.0,59,0
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,25.8,13,0.48,59,1
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,26.16,13,0.24,59,2
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,26.22,13,1.08,59,3
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,25.5,13,0.84,59,0
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,26.45,13,0.0,59,1
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,25.63,13,0.6,59,2
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,26.27,13,0.96,59,3
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,25.5,13,1.08,59,0
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,25.98,13,0.24,59,1
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,26.08,13,0.36,59,2
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,25.88,13,0.36,59,3
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,25.5,13,0.6,59,0
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,26.45,13,0.6,59,1
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,26.08,13,0.36,59,2
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,25.73,13,0.12,59,3
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,26.0,13,0.48,60,0
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,26.93,13,0.96,60,1
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,26.75,13,0.48,60,2
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,26.4,13,0.36,60,3
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,26.0,13,1.08,60,0
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,26.4,13,0.24,60,1
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,26.14,13,0.6,60,2
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,26.15,13,0.12,60,3
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,26.0,13,0.6,60,0
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,26.11,13,0.84,60,1
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,26.32,13,0.6,60,2
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,26.32,13,0.84,60,3
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,26.0,13,0.12,60,0
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,26.41,13,1.08,60,1
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,26.24,13,0.12,60,2
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,26.75,13,0.84,60,3
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,26.0,13,0.24,60,0
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,26.13,13,0.84,60,1
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,26.98,13,0.12,60,2
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,26.77,13,1.08,60,3
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,26.0,13,0.84,60,0
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,26.12,13,0.6,60,1
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,26.16,13,0.48,60,2
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,26.25,13,0.0,60,3
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,26.0,13,0.72,60,0
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,26.51,13,1.08,60,1
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,26.6,13,0.96,60,2
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,26.58,13,1.08,60,3
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,26.0,13,0.84,60,0
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,26.32,13,0.48,60,1
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,26.1,13,0.24,60,2
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,26.3,13,0.12,60,3
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,26.0,13,0.36,60,0
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,26.51,13,0.96,60,1
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,26.61,13,1.08,60,2
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,26.98,13,0.48,60,3
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,26.0,13,0.84,60,0
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,26.58,13,0.48,60,1
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,26.68,13,0.24,60,2
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,26.19,13,0.6,60,3
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,26.5,13,0.48,61,0
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,26.84,13,0.84,61,1
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,26.57,13,0.24,61,2
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,27.04,13,0.24,61,3
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,26.5,13,0.6,61,0
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,27.46,13,0.24,61,1
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,26.59,13,0.12,61,2
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,26.96,13,0.72,61,3
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,26.5,13,0.48,61,0
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,27.34,13,0.48,61,1
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,26.93,13,0.0,61,2
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,26.61,13,1.2,61,3
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,26.5,13,0.12,61,0
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,26.62,13,0.24,61,1
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,26.88,13,0.84,61,2
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,27.11,13,0.24,61,3
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,26.5,13,0.72,61,0
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,27.27,13,0.96,61,1
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,26.7,13,0.24,61,2
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,26.68,13,0.24,61,3
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,26.5,13,0.24,61,0
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,27.5,13,0.96,61,1
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,26.63,13,1.08,61,2
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,27.23,13,1.08,61,3
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,26.5,13,0.84,61,0
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,26.83,13,0.96,61,1
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,27.37,13,0.6,61,2
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,26.97,13,0.24,61,3
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,26.5,13,0.24,61,0
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,26.55,13,0.72,61,1
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,26.62,13,1.08,61,2
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,26.99,13,0.24,61,3
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,26.5,13,0.0,61,0
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,26.98,13,0.12,61,1
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,27.33,13,1.08,61,2
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,27.33,13,0.96,61,3
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,26.5,13,0.6,61,0
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,27.13,13,0.12,61,1
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,26.75,13,0.24,61,2
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,26.73,13,0.12,61,3
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,27.0,13,0.0,62,0
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,27.74,13,0.72,62,1
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,27.72,13,0.36,62,2
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,27.05,13,0.24,62,3
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,27.0,13,0.36,62,0
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,27.99,13,0.24,62,1
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,27.95,13,0.96,62,2
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,27.26,13,0.84,62,3
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,27.0,13,0.24,62,0
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,27.38,13,0.6,62,1
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,27.29,13,0.72,62,2
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,27.27,13,0.36,62,3
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,27.0,13,0.36,62,0
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,27.92,13,1.08,62,1
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,27.76,13,0.96,62,2
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,27.5,13,0.6,62,3
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,27.0,13,0.72,62,0
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,27.59,13,0.6,62,1
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,27.75,13,0.84,62,2
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,27.64,13,0.6,62,3
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,27.0,13,0.48,62,0
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,27.41,13,0.12,62,1
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,27.46,13,0.36,62,2
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,27.11,13,0.6,62,3
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,27.0,13,1.08,62,0
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,27.59,13,0.72,62,1
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,27.3,13,0.6,62,2
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,27.44,13,0.12,62,3
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,27.0,13,1.08,62,0
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,27.93,13,0.72,62,1
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,27.19,13,1.2,62,2
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,27.2,13,0.84,62,3
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,27.0,13,0.12,62,0
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,27.38,13,0.96,62,1
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,27.63,13,1.08,62,2
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,27.59,13,0.6,62,3
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,27.0,13,0.24,62,0
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,27.03,13,0.96,62,1
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,27.7,13,0.0,62,2
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,27.82,13,0.48,62,3
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,27.5,13,0.48,63,0
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,28.15,13,1.08,63,1
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,27.92,13,1.2,63,2
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,27.83,13,0.96,63,3
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,27.5,13,0.24,63,0
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,28.29,13,0.84,63,1
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,27.79,13,0.24,63,2
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,28.18,13,0.12,63,3
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,27.5,13,0.36,63,0
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,28.4,13,0.48,63,1
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,27.94,13,0.6,63,2
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,27.95,13,0.96,63,3
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,27.5,13,0.72,63,0
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,28.25,13,1.08,63,1
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,28.3,13,0.0,63,2
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,27.66,13,0.96,63,3
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,27.5,13,1.08,63,0
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,28.16,13,0.36,63,1
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,28.22,13,0.48,63,2
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,27.8,13,0.48,63,3
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,27.5,13,0.96,63,0
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,27.89,13,0.72,63,1
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,27.51,13,0.36,63,2
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,28.22,13,1.08,63,3
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,27.5,13,1.2,63,0
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,27.55,13,0.84,63,1
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,28.0,13,0.84,63,2
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,28.01,13,0.72,63,3
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,27.5,13,0.0,63,0
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,27.7,13,0.48,63,1
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,27.56,13,1.08,63,2
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,27.77,13,0.72,63,3
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,27.5,13,0.72,63,0
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,28.0,13,0.12,63,1
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,28.45,13,1.2,63,2
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,27.68,13,0.36,63,3
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,27.5,13,0.48,63,0
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,27.76,13,0.48,63,1
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,27.86,13,0.36,63,2
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,28.13,13,0.72,63,3
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,20.0,14,0.36,64,0
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,20.98,14,0.36,64,1
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,20.85,14,0.84,64,2
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,20.5,14,1.2,64,3
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,20.0,14,0.12,64,0
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,20.76,14,1.08,64,1
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,20.23,14,1.2,64,2
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,21.0,14,0.96,64,3
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,20.0,14,0.48,64,0
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,20.81,14,0.6,64,1
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,20.61,14,0.48,64,2
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,20.04,14,0.6,64,3
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,20.0,14,0.72,64,0
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,20.71,14,0.12,64,1
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,20.84,14,0.24,64,2
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,20.84,14,0.84,64,3
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,20.0,14,0.36,64,0
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,20.56,14,0.6,64,1
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,20.12,14,1.2,64,2
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,20.8,14,0.12,64,3
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,20.0,14,0.6,64,0
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,20.19,14,1.08,64,1
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,20.34,14,1.08,64,2
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,20.73,14,1.08,64,3
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,20.0,14,0.48,64,0
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,20.58,14,0.96,64,1
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,20.02,14,0.12,64,2
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,20.01,14,0.48,64,3
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,20.0,14,0.48,64,0
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,20.03,14,0.96,64,1
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,20.18,14,0.72,64,2
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,20.99,14,0.12,64,3
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,20.0,14,1.08,64,0
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,20.6,14,1.2,64,1
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,20.72,14,0.84,64,2
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,20.2,14,0.84,64,3
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,20.0,14,0.24,64,0
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,20.86,14,0.36,64,1
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,20.27,14,0.72,64,2
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,20.15,14,0.72,64,3
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,20.5,14,1.2,65,0
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,21.21,14,1.08,65,1
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,21.4,14,0.0,65,2
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,21.01,14,0.48,65,3
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,20.5,14,0.96,65,0
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,21.19,14,0.48,65,1
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,20.83,14,0.72,65,2
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,21.49,14,0.72,65,3
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,20.5,14,1.2,65,0
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,20.53,14,0.24,65,1
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,21.34,14,0.36,65,2
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,21.09,14,0.72,65,3
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,20.5,14,0.0,65,0
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,20.5,14,0.72,65,1
